source_prefix	ncbigene	hgnc	mgi	rgd	cgnc	wormbase	flybase	sgd	omim	civic.gid	umls	ncit	wikidata
ncbigene	59499014	44328	111824	48327	26069	0	0	0	18502	621	0	5957	788877
hgnc	44328	44071	0	0	0	0	0	0	17785	622	0	5978	44599
mgi	111824	0	737779	0	0	0	0	0	0	0	0	0	71594
rgd	48327	0	0	61335	0	0	0	0	0	0	0	0	0
cgnc	26069	0	0	0	26075	0	0	0	0	0	0	0	1
wormbase	0	0	0	0	0	0	0	0	0	0	0	0	0
flybase	0	0	0	0	0	0	17870	0	0	0	0	0	0
sgd	0	0	0	0	0	0	0	6600	0	0	0	0	0
omim	18502	17785	0	0	0	0	0	0	27201	622	0	5847	28393
civic.gid	621	622	0	0	0	0	0	0	622	890	0	577	630
umls	0	0	0	0	0	0	0	0	0	0	1	0	0
ncit	5957	5978	0	0	0	0	0	0	5847	577	0	12711	6006
wikidata	788877	44599	71594	0	1	0	0	0	28393	630	0	6006	797967
