source_prefix	ncbigene	hgnc	mgi	rgd	cgnc	wormbase	flybase	sgd	omim	civic.gid	umls	ncit	wikidata
ncbigene	47782242	43796	76239	48324	25931	0	0	0	18234	506	0	0	788061
hgnc	43796	43865	0	0	0	0	0	0	17153	0	0	5785	43557
mgi	76239	0	682164	0	0	0	0	0	0	0	0	0	0
rgd	48324	0	0	61339	0	0	0	0	0	0	0	0	0
cgnc	25931	0	0	0	25936	0	0	0	0	0	0	0	0
wormbase	0	0	0	0	0	0	0	0	0	0	0	0	0
flybase	0	0	0	0	0	0	17883	0	0	0	0	0	0
sgd	0	0	0	0	0	0	0	6600	0	0	0	0	0
omim	18234	17153	0	0	0	0	0	0	26954	0	0	0	25906
civic.gid	506	0	0	0	0	0	0	0	0	506	0	0	491
umls	0	0	0	0	0	0	0	0	0	0	1	0	0
ncit	0	5785	0	0	0	0	0	0	0	0	0	12311	0
wikidata	788061	43557	0	0	0	0	0	0	25906	491	0	0	797966
