source_prefix	ncbigene	hgnc	mgi	rgd	cgnc	wormbase	flybase	sgd	omim	civic.gid	umls	ncit	wikidata
ncbigene	56689711	43865	111826	48330	26070	0	0	0	18568	594	0	0	788061
hgnc	43865	44117	0	0	0	0	0	0	17496	0	0	5978	43557
mgi	111826	0	661778	0	0	0	0	0	0	0	0	0	0
rgd	48330	0	0	61462	0	0	0	0	0	0	0	0	0
cgnc	26070	0	0	0	26085	0	0	0	0	0	0	0	0
wormbase	0	0	0	0	0	0	0	0	0	0	0	0	0
flybase	0	0	0	0	0	0	17871	0	0	0	0	0	0
sgd	0	0	0	0	0	0	0	6600	0	0	0	0	0
omim	18568	17496	0	0	0	0	0	0	27277	0	0	0	25898
civic.gid	594	0	0	0	0	0	0	0	0	901	0	1	491
umls	0	0	0	0	0	0	0	0	0	0	1	0	0
ncit	0	5978	0	0	0	0	0	0	0	1	0	12711	0
wikidata	788061	43557	0	0	0	0	0	0	25898	491	0	0	797957
