prefix	name	license	version	terms	status
mesh	Medical Subject Headings	CC0-1.0	2025	636	subset
efo	Experimental Factor Ontology	Apache-2.0	3.75.0	26	subset
cellosaurus	Cellosaurus	CC-BY-4.0	51.0	161202	full
ccle	Cancer Cell Line Encyclopedia Cells	ODbL-1.0		1061	full
depmap	DepMap Cell Lines	CC-BY-4.0	24Q4	1814	full
bto	BRENDA Tissue Ontology	CC-BY-4.0	2021-10-26	6511	full
cl	Cell Ontology	CC-BY-4.0	2025-02-13	3060	full
clo	Cell Line Ontology	CC-BY-3.0	2.1.188	39099	full
ncit	NCI Thesaurus	CC-BY-4.0	24.11d	503	subset
umls	Unified Medical Language System Concept Unique Identifier	https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/release/license_agreement.html	2024AB	6312	subset
